code,name,date,close,pctChg,amount,turn,peTTM,pbMRQ,hit_strategies,strategy_count,MA20,MA60,MA120,RSI14,DIF,DEA,K,D,J,avg_amount_60,vol20,amount20,max_dd_60,bias_ma60,ret60
sh.600157,,2026-02-27,1.83,7.0175,6459783380.42,16.266,135.570894,0.84835,"LOW_VAL_BLUECHIP,UP_TREND,MACD_KDJ_RESONANCE",3,1.673,1.6381666666666665,1.6219166666666667,69.21317400086839,0.02334028339542127,0.009006606133339309,73.20190554710123,68.22445468770903,83.15680726588565,1326420940.7406666,1020965273.65,1737098556.264,0.06976744186046505,0.11710245192796842,0.16560509554140124
sh.600096,,2026-02-27,44.37,-0.404,4124628426.67,5.0951,14.347114,3.339753,"LOW_VAL_BLUECHIP,UP_TREND,MACD_KDJ_RESONANCE",3,38.117999999999995,34.30783333333333,31.539217449333332,73.88595727500476,1.897073054888196,1.1249717257272285,90.24325064777955,86.73477042394386,97.26021109545096,1886608588.8286667,65266298.8,2570927964.6029997,0.12158435698169971,0.2932906479083981,0.4547540983606557
sh.600108,,2026-02-27,3.97,9.9723,681503231.73,9.0361,81.444447,1.791524,"UP_TREND,MACD_KDJ_RESONANCE,SMALL_GROWTH",3,3.6055,3.368333333333333,3.232,67.9851728519827,0.059906979342510436,0.04182725756873995,80.84195547381051,65.447251989325,111.63136244278155,245484002.66283333,78317535.15,286864018.577,0.11979166666666666,0.17862444334487892,0.29738562091503273
sh.600251,,2026-02-27,11.37,1.1566,165336448.25,1.872,40.204394,2.32812,"UP_TREND,MACD_KDJ_RESONANCE,SMALL_GROWTH",3,10.666,9.6545,9.159687166333333,66.64760442350132,0.3052494719224601,0.2569410178871706,79.1381487754081,69.66042394595944,98.09359843430542,138652299.0328333,18312446.25,197658282.3905,0.09515260323159788,0.17768916049510586,0.297945205479452
sh.600191,,2026-02-27,13.26,3.7559,145439174.53,2.2944,163.585428,3.798109,"UP_TREND,MACD_KDJ_RESONANCE,SMALL_GROWTH",3,12.9365,12.607666666666667,10.56525,57.17117396776962,-0.015590053278426552,-0.01747876010899469,83.61948690400337,70.21397986567612,110.43050098065785,197184418.05866668,10993629.1,142952307.938,0.14428571428571427,0.05174100415091343,0.2592592592592593
sh.600262,,2026-02-27,32.56,-1.3333,125253636.88,2.2757,21.983575,3.144039,"UP_TREND,MACD_KDJ_RESONANCE,SMALL_GROWTH",3,31.2015,27.9345,26.365000000000002,59.06921489360492,0.994207747695981,0.9175561366473859,79.33049778795194,79.07964668483689,79.83219999418205,144587700.24383333,6628155.15,207756100.05699998,0.17660420215786482,0.16558377633392407,0.28492501973164974
sh.600089,,2026-02-27,30.34,-0.7848,7865725130.08,5.1572,28.819018,2.227893,"UP_TREND,MACD_KDJ_RESONANCE",2,28.657999999999998,25.472166666666666,22.17366666666667,64.0294375345625,0.9807734707197824,0.9043342739493537,85.6874985649383,83.58688267094766,89.88873035291954,7991738870.006833,320523402.25,9215393181.3845,0.11630929174788829,0.191104015494036,0.3747168101495242
sh.600105,,2026-02-27,29.94,1.1486,4896259338.58,11.3772,131.366123,13.265173,"UP_TREND,MACD_KDJ_RESONANCE",2,27.308500000000002,24.264166666666668,18.705876477,61.963508042846776,0.8905873455771847,0.7674219092035075,81.67577458065642,71.57780161052922,101.87172052091083,4711481748.549,150337352.5,4127399740.9620004,0.20012686330478915,0.23391832949823121,0.9045801526717556
sh.600078,,2026-02-27,14.16,-4.3889,2072008208.87,21.9692,-93.045975,5.521052,"UP_TREND,MACD_KDJ_RESONANCE",2,12.418,11.064833333333333,9.919916666666666,66.07547852621408,0.6055626235714371,0.37763301945488703,84.20455918067685,77.88582210570758,96.84203333061541,472775710.47683334,46166487.45,595257609.3104999,0.18866328257191203,0.27973007576556363,0.27797833935018046
sh.600259,,2026-02-27,102.08,10.0,1838099307.19,5.4772,328.393131,9.827832,"UP_TREND,MACD_KDJ_RESONANCE",2,84.212,67.3605,62.653999999999996,72.47755638576062,6.474475805417384,5.370022530925011,93.26488254472736,88.09674612117382,103.60115539183442,1046489940.1930001,15832049.65,1333277237.6334999,0.09959647835656639,0.5154281812041182,0.8637940478364066
